ID,Title,Author,Year,Format,File
1,Longman Introductory Course.pdf,Deborah Philip,2023,PDF,ebook/Longman Introductory Course.pdf
2,Marmut Merah Jambu,Raditya Dika,2010,PDF,ebook/Raditya Dika - Marmut Merah Jambu_text.pdf
3,Manusia Setengah Salmon,Raditya Dika,2011,PDF,ebook/Raditya Dika - Manusia Setengah Salmon.pdf
4,Kambing Jantan,Raditya Dika,2005,PDF,ebook/Raditya Dika - Kambing Jantan_text.pdf
5,Cinta Brontosaurus,Raditya Dika,2006,PDF,ebook/Raditya Dika - Cinta Brontosaurus.pdf
6,Babi Ngesot,Raditya Dika,2011,PDF,ebook/Raditya Dika - Babi Ngesot.pdf
7,Perahu Kertas,Dee Lestari,2009,PDF,ebook/Perahu Kertas.pdf
8,Little Women,Louisa May Alcott,1868,PDF,ebook/Little Women Louisa May Alcott.pdf
9,Laskar Pelangi,Andrea Hirata,2005,PDF,ebook/Andrea Hirata - Laskar Pelangi.pdf
10,
